Rider;1st;2nd;3rd;GC;POINTS;KOM;YOUTH
LONCKE Gérard;2;3;0;0;0;0;0
SASTRE Carlos;2;3;0;0;0;0;0
IZAGIRRE Ion;2;3;0;0;0;0;0
PLANCKAERT Eddy;2;2;8;0;0;0;0
VAN AERDE Michel;2;2;6;0;0;0;0
ANDERSON Phil;2;2;5;0;0;0;0
DÉMARE Arnaud;2;2;5;0;0;0;0
SANTAMBROGIO Giacinto;2;2;4;0;0;0;0
DEMEYER Marc;2;2;4;0;0;0;0
PAUL Ernest;2;2;3;0;0;0;0
BIDOT Marcel;2;2;3;0;0;0;0
MORELLI Ambrogio Enrico;2;2;3;0;0;0;0
SCHÄR Fritz;2;2;2;0;0;0;0
CARLESI Guido;2;2;2;0;0;0;0
PLANCKAERT Willy;2;2;2;0;0;0;0
DE WILDE Etienne;2;2;2;0;0;0;0
ROOKS Steven;2;2;2;0;0;0;0
VOIGT Jens;2;2;2;0;0;0;0
PEDERSEN Mads;2;2;2;0;0;0;0
GODIVIER Marcel;2;2;1;0;0;0;0
JAMINET Pierre;2;2;1;0;0;0;0
RÉMY Raoul;2;2;1;0;0;0;0
SCIARDIS Gino;2;2;1;0;0;0;0
FANTINI Alessandro;2;2;1;0;0;0;0
DE WITTE Ronald;2;2;1;0;0;0;0
MOSER Francesco;2;2;1;0;0;0;0
MCGEE Bradley;2;2;1;0;0;0;0
NAZON Jean-Patrick;2;2;1;0;0;0;0
GAVIRIA Fernando;2;2;1;0;0;0;0
BENNETT Sam;2;2;1;0;0;0;0
LOUYET Léon;2;2;0;0;0;0;0
BRANKART Jean;2;2;0;0;0;0;0
BRACKE Ferdinand;2;2;0;0;0;0;0
RICHARD Pascal;2;2;0;0;0;0;0
ETXEBARRIA David;2;2;0;0;0;0;0
ROLLAND Pierre;2;2;0;0;0;0;0
HEUSGHEM Hector;2;1;12;0;0;0;0
GROSSKOST Charly;2;1;5;0;0;0;0
KWIATKOWSKI Michał;2;1;4;0;0;0;0
AMBERG Leo;2;1;3;0;0;0;0
DELEDDA Adolphe;2;1;3;0;0;0;0
GOLDSCHMIT Jean;2;1;3;0;0;0;0
WOLFSHOHL Rolf;2;1;3;0;0;0;0
NIJDAM Henk;2;1;3;0;0;0;0
VAN RYCKEGHEM Daniel;2;1;3;0;0;0;0
THALER Klaus-Peter;2;1;3;0;0;0;0
WELLENS Paul;2;1;3;0;0;0;0
BENNATI Daniele;2;1;3;0;0;0;0
WIGGINS Bradley;2;1;3;0;0;0;0
MOLLEMA Bauke;2;1;3;0;0;0;0
CAMELLINI Fermo;2;1;2;0;0;0;0
LAPÉBIE Guy;2;1;2;0;0;0;0
LAMBRECHT Roger;2;1;2;0;0;0;0
JANSSENS Marcel;2;1;2;0;0;0;0
VANNITSEN Willy;2;1;2;0;0;0;0
LEBLANC Luc;2;1;2;0;0;0;0
SCHLECK Fränk;2;1;2;0;0;0;0
DE GENDT Thomas;2;1;2;0;0;0;0
MASSELIS Jules;2;1;1;0;0;0;0
MASSON Émile;2;1;1;0;0;0;0
FONTAN Victor;2;1;1;0;0;0;0
CHOCQUE Paul;2;1;1;0;0;0;0
PASSAT Raymond;2;1;1;0;0;0;0
FUENTE José Manuel;2;1;1;0;0;0;0
VAN DER POEL Adrie;2;1;1;0;0;0;0
BRUYNEEL Johan;2;1;1;0;0;0;0
GUERINI Giuseppe;2;1;1;0;0;0;0
BARGUIL Warren;2;1;1;0;0;0;0
PAULMIER Georges;2;1;0;0;0;0;0
CLOAREC Pierre;2;1;0;0;0;0;0
BAUTZ Erich;2;1;0;0;0;0;0
GALATEAU Fabien;2;1;0;0;0;0;0
FOURNIER Amédée;2;1;0;0;0;0;0
ROSSELLO Vincenzo;2;1;0;0;0;0;0
LAZARIDÈS Lucien;2;1;0;0;0;0;0
VIVIER Jacques;2;1;0;0;0;0;0
BAILETTI Antonio;2;1;0;0;0;0;0
SMIT Theo;2;1;0;0;0;0;0
WIJNANDS Ad;2;1;0;0;0;0;0
GÖLZ Rolf;2;1;0;0;0;0;0
CLAVEYROLAT Thierry;2;1;0;0;0;0;0
UGRUMOV Piotr;2;1;0;0;0;0;0
VASSEUR Cédric;2;1;0;0;0;0;0
COMMESSO Salvatore;2;1;0;0;0;0;0
MONCOUTIÉ David;2;1;0;0;0;0;0
SCHUMACHER Stefan;2;1;0;0;0;0;0
RIBLON Christophe;2;1;0;0;0;0;0
LOUVIOT Raymond;2;0;5;0;0;0;0
BEECKMAN Théophile;2;0;3;0;0;0;0
HUYSMANS Jos;2;0;3;0;0;0;0
MAYE Paul;2;0;2;0;0;0;0
FORLINI Dominique;2;0;2;0;0;0;0
BERGAUD Louis;2;0;2;0;0;0;0
BEUFFEUIL Pierre;2;0;2;0;0;0;0
GUALAZZINI Ercole;2;0;2;0;0;0;0
SEZNEC Christian;2;0;2;0;0;0;0
PARRA Fabio Enrique;2;0;2;0;0;0;0
BOOGERD Michael;2;0;2;0;0;0;0
POZZATO Filippo;2;0;2;0;0;0;0
EGG Oscar;2;0;1;0;0;0;0
DE CORTE Raymond;2;0;1;0;0;0;0
TAVERNE Omer;2;0;1;0;0;0;0
MIDDELKAMP Theo;2;0;1;0;0;0;0
MAJERUS Jean;2;0;1;0;0;0;0
TASSIN Eloi;2;0;1;0;0;0;0
BIAGIONI Serafino;2;0;1;0;0;0;0
ROBINSON Brian;2;0;1;0;0;0;0
