Rider;1st;2nd;3rd;4th;5th;GC;POINTS;KOM;YOUTH
VANNITSEN Willy;2;1;2;0;0;0;0;0;0
VAN DER POEL Adrie;2;1;1;4;3;0;0;0;0
MASSON Émile;2;1;1;2;5;0;0;0;0
CHOCQUE Paul;2;1;1;2;0;0;0;0;0
FUENTE José Manuel;2;1;1;2;0;0;0;0;0
FONTAN Victor;2;1;1;1;0;0;0;0;0
BRUYNEEL Johan;2;1;1;1;0;0;0;0;0
BARGUIL Warren;2;1;1;0;2;0;0;1;0
MASSELIS Jules;2;1;1;0;1;0;0;0;0
PASSAT Raymond;2;1;1;0;1;0;0;0;0
GUERINI Giuseppe;2;1;1;0;0;0;0;0;0
PAULMIER Georges;2;1;0;2;3;0;0;0;0
BAUTZ Erich;2;1;0;2;1;0;0;0;0
GALATEAU Fabien;2;1;0;2;1;0;0;0;0
LAZARIDÈS Lucien;2;1;0;2;0;0;0;0;0
SMIT Theo;2;1;0;1;2;0;0;0;0
CLOAREC Pierre;2;1;0;1;1;0;0;0;0
CLAVEYROLAT Thierry;2;1;0;1;1;0;0;1;0
FOURNIER Amédée;2;1;0;1;0;0;0;0;0
VIVIER Jacques;2;1;0;1;0;0;0;0;0
BAILETTI Antonio;2;1;0;1;0;0;0;0;0
MONCOUTIÉ David;2;1;0;1;0;0;0;0;0
COMMESSO Salvatore;2;1;0;0;3;0;0;0;0
ROSSELLO Vincenzo;2;1;0;0;1;0;0;0;0
WIJNANDS Ad;2;1;0;0;0;0;0;0;0
GÖLZ Rolf;2;1;0;0;0;0;0;0;0
UGRUMOV Piotr;2;1;0;0;0;0;0;0;0
VASSEUR Cédric;2;1;0;0;0;0;0;0;0
SCHUMACHER Stefan;2;1;0;0;0;0;0;0;0
RIBLON Christophe;2;1;0;0;0;0;0;0;0
LOUVIOT Raymond;2;0;5;1;2;0;0;0;0
BEECKMAN Théophile;2;0;3;2;4;0;0;0;0
HUYSMANS Jos;2;0;3;2;2;0;0;0;0
MAYE Paul;2;0;2;4;1;0;0;0;0
PARRA Fabio Enrique;2;0;2;3;2;0;0;0;1
BOOGERD Michael;2;0;2;3;1;0;0;0;0
BERGAUD Louis;2;0;2;2;3;0;0;0;0
SEZNEC Christian;2;0;2;2;2;0;0;0;0
FORLINI Dominique;2;0;2;2;1;0;0;0;0
BEUFFEUIL Pierre;2;0;2;1;0;0;0;0;0
GUALAZZINI Ercole;2;0;2;1;0;0;0;0;0
POZZATO Filippo;2;0;2;1;0;0;0;0;0
BALDATO Fabio;2;0;1;5;2;0;0;0;0
PHINNEY Davis;2;0;1;3;4;0;0;0;0
TAVERNE Omer;2;0;1;2;1;0;0;0;0
