Rider;1st;2nd;3rd;4th;5th;GC;POINTS;KOM;YOUTH
CLAREY John;0;0;0;0;1;0;0;0;0
COLOMBO Ugo;0;0;0;0;1;0;0;0;0
VICENTINI Flaviano;0;0;0;0;1;0;0;0;0
LETORT Désiré;0;0;0;0;1;0;0;0;0
SANTAMARINA Luis Pedro;0;0;0;0;1;0;0;0;0
ABRAHAMIAN Stéphane;0;0;0;0;1;0;0;0;0
RIGON Francis;0;0;0;0;1;0;0;0;0
FERRETTI Giancarlo;0;0;0;0;1;0;0;0;0
PEFFGEN Wilfried;0;0;0;0;1;0;0;0;0
DALLA BONA Luciano;0;0;0;0;1;0;0;0;0
KOEKEN Cees;0;0;0;0;1;0;0;0;0
CADIOU Jacques;0;0;0;0;1;0;0;0;0
NOGUÈS Alain;0;0;0;0;1;0;0;0;0
DE KONING Mathijs;0;0;0;0;1;0;0;0;0
BLAIN Christian;0;0;0;0;1;0;0;0;0
VAN LOOY Frans;0;0;0;0;1;0;0;0;0
PRINSEN Henk;0;0;0;0;1;0;0;0;0
DOYEN André;0;0;0;0;1;0;0;0;0
TALBOURDET Georges;0;0;0;0;1;0;0;0;0
LE DENMAT Michel;0;0;0;0;1;0;0;0;0
LEGEAY Roger;0;0;0;0;1;0;0;0;0
SUÁREZ Jesús;0;0;0;0;1;0;0;0;0
MANTOVANI Giovanni;0;0;0;0;1;0;0;0;0
VIGNERON Alain;0;0;0;0;1;0;0;0;0
TESNIERE Philippe;0;0;0;0;1;0;0;0;0
BÉRARD Charly;0;0;0;0;1;0;0;0;0
GAVILLET Bernard;0;0;0;0;1;0;0;0;0
GALLOPIN Guy;0;0;0;0;1;0;0;0;0
ACEVEDO Rafael Antonio;0;0;0;0;1;0;0;0;0
ROUX Denis;0;0;0;0;1;0;0;0;0
STIEDA Alex;0;0;0;0;1;0;0;0;0
GUTIÉRREZ Alfonso;0;0;0;0;1;0;0;0;0
GARDE Jean-Claude;0;0;0;0;1;0;0;0;0
BLANCO Jesús;0;0;0;0;1;0;0;0;0
VAN LANCKER Eric;0;0;0;0;1;0;0;0;0
VEENSTRA Wiebren;0;0;0;0;1;0;0;0;0
ZADROBILEK Gerhard;0;0;0;0;1;0;0;0;0
KUUM Jaanus;0;0;0;0;1;0;0;0;0
PHILIPOT Fabrice;0;0;0;0;1;0;0;0;1
BEZAULT Laurent;0;0;0;0;1;0;0;0;0
GOESSENS Jan;0;0;0;0;1;0;0;0;0
CARLSEN John;0;0;0;0;1;0;0;0;0
MAIER Harald;0;0;0;0;1;0;0;0;0
KRIEGER Dominik;0;0;0;0;1;0;0;0;0
SIERRA Leonardo;0;0;0;0;1;0;0;0;0
ZAINA Enrico;0;0;0;0;1;0;0;0;0
KASPUTIS Artūras;0;0;0;0;1;0;0;0;0
GONZALEZ Arsenio;0;0;0;0;1;0;0;0;0
PERONA Davide;0;0;0;0;1;0;0;0;0
FINCATO Marco;0;0;0;0;1;0;0;0;0
GARCÍA CASAS Félix Miguel;0;0;0;0;1;0;0;0;0
LEMARCHAND François;0;0;0;0;1;0;0;0;0
BOSCARDIN Bruno;0;0;0;0;1;0;0;0;0
REBELLIN Davide;0;0;0;0;1;0;0;0;0
STRAZZER Massimo;0;0;0;0;1;0;0;0;0
AUS Lauri;0;0;0;0;1;0;0;0;0
DI GRANDE Giuseppe;0;0;0;0;1;0;0;0;0
JEMISON Marty;0;0;0;0;1;0;0;0;0
GUESDON Frédéric;0;0;0;0;1;0;0;0;0
TETERIOUK Andrei;0;0;0;0;1;0;0;0;0
CASTELBLANCO José Joaquin;0;0;0;0;1;0;0;0;0
VAN DE WOUWER Kurt;0;0;0;0;1;0;0;0;0
LAMOUR Claude;0;0;0;0;1;0;0;0;0
PIZIKS Arvis;0;0;0;0;1;0;0;0;0
KLEMENČIČ Zoran;0;0;0;0;1;0;0;0;0
PIERI Dario;0;0;0;0;1;0;0;0;0
BRARD Florent;0;0;0;0;1;0;0;0;0
MATTAN Nico;0;0;0;0;1;0;0;0;0
PÉREZ RODRÍGUEZ Luis;0;0;0;0;1;0;0;0;0
EDALEINE Christophe;0;0;0;0;1;0;0;0;0
LATASA David;0;0;0;0;1;0;0;0;0
JAKSCHE Jörg;0;0;0;0;1;0;0;0;0
CASAROTTO Davide;0;0;0;0;1;0;0;0;0
PEÑA Victor Hugo;0;0;0;0;1;0;0;0;0
HASELBACHER René;0;0;0;0;1;0;0;0;0
BÉNÉTEAU Walter;0;0;0;0;1;0;0;0;0
GONZÁLEZ Santos;0;0;0;0;1;0;0;0;0
LOTZ Marc;0;0;0;0;1;0;0;0;0
PAGLIARINI Luciano André;0;0;0;0;1;0;0;0;0
DAVIS Allan;0;0;0;0;1;0;0;0;0
GUSEV Vladimir;0;0;0;0;1;0;0;0;0
DE JONGH Steven;0;0;0;0;1;0;0;0;0
ARASHIRO Yukiya;0;0;0;0;1;0;0;0;0
MINARD Sébastien;0;0;0;0;1;0;0;0;0
CHARTEAU Anthony;0;0;0;0;1;0;0;1;0
LADAGNOUS Matthieu;0;0;0;0;1;0;0;0;0
PERGET Mathieu;0;0;0;0;1;0;0;0;0
ROBERTS Luke;0;0;0;0;1;0;0;0;0
HORNER Chris;0;0;0;0;1;0;0;0;0
KIŠERLOVSKI Robert;0;0;0;0;1;0;0;0;0
BOECKMANS Kris;0;0;0;0;1;0;0;0;0
LOBATO Juan José;0;0;0;0;1;0;0;0;0
TEN DAM Laurens;0;0;0;0;1;0;0;0;0
TERPSTRA Niki;0;0;0;0;1;0;0;0;0
GARCÍA Egoitz;0;0;0;0;1;0;0;0;0
MONTAGUTI Matteo;0;0;0;0;1;0;0;0;0
DE MARCHI Alessandro;0;0;0;0;1;0;0;0;0
VAN EMDEN Jos;0;0;0;0;1;0;0;0;0
MARTENS Paul;0;0;0;0;1;0;0;0;0
FRANK Mathias;0;0;0;0;1;0;0;0;0
PETIT Adrien;0;0;0;0;1;0;0;0;0
MCCARTHY Jay;0;0;0;0;1;0;0;0;0
POZZOVIVO Domenico;0;0;0;0;1;0;0;0;0
DEBUSSCHERE Jens;0;0;0;0;1;0;0;0;0
FELLINE Fabio;0;0;0;0;1;0;0;0;0
VENTURINI Clément;0;0;0;0;1;0;0;0;0
BISSEGGER Stefan;0;0;0;0;1;0;0;0;0
VAN BAARLE Dylan;0;0;0;0;1;0;0;0;0
STORER Michael;0;0;0;0;1;0;0;0;0
SHAW James;0;0;0;0;1;0;0;0;0
EEKHOFF Nils;0;0;0;0;1;0;0;0;0
BERTHET Clément;0;0;0;0;1;0;0;0;0
CHAVES Esteban;0;0;0;0;1;0;0;0;0
TEJADA Harold;0;0;0;0;1;0;0;0;0
VAN DEN BERG Marijn;0;0;0;0;1;0;0;0;0
HEALY Ben;0;0;0;0;1;0;0;0;0
ONLEY Oscar;0;0;0;0;1;0;0;0;0
LAZKANO Oier;0;0;0;0;1;0;0;0;0
BELLINI Giancarlo;0;0;0;0;0;0;0;1;0
MARTINEZ Enrique;0;0;0;0;0;0;0;0;1
BOUWMANS Eddy;0;0;0;0;0;0;0;0;1
MARTÍN Antonio;0;0;0;0;0;0;0;0;1
SALMON Benoît;0;0;0;0;0;0;0;0;1
